book,chapter,verse
Ephesians,6,4
Ephesians,6,5
Ephesians,6,6
Ephesians,6,7
Ephesians,6,8
Ephesians,6,9
Ephesians,6,10
Ephesians,6,11
Ephesians,6,12
Ephesians,6,13
Ephesians,6,14
Ephesians,6,15
Ephesians,6,16
Ephesians,6,17
Ephesians,6,18
Ephesians,6,19
Ephesians,6,20
Ephesians,6,21
Ephesians,6,22
Ephesians,6,23
Ephesians,6,24
Proverbs,3,24
Exodus,20,12
Deuteronomy,5,16
Luke,2,51
Luke,2,52
Colossians,3,20
Ruth,1,16
Ruth,1,17
Mark,7,10
Mark,7,11
Romans,1,30
2Timothy,3,2
1Peter,2,18
1Corinthians,7,20
1Corinthians,7,21
1Corinthians,7,22
Colossians,4,1
Romans,13,1
Romans,13,2
Ephesians,1,19
Colossians,2,15
2Corinthians,4,4
2Timothy,2,26
1Peter,5,8
James,4,7
John,17,17
1John,5,4
Isaiah,59,17
2Corinthians,10,5
Joshua,1,8
Hebrewss,4,12
Ephesians,4,14
John,14,26
Romans,8,26
Romans,8,27
