dday,month,day,word,book,chapter,verse
11,11,19,contain,Job,28,6
11,11,20,view,Job,28,24
11,11,21,consult,1 Samuel,28,16
11,11,22,commend,Job,29,11
11,11,23,vanish,Job,30,15
11,11,24,toss,Job,30,22
11,11,25,count,Job,31,4
11,11,26,warm,Job,31,20
11,11,27,tolerate,Habakkuk,1,3
11,11,28,leave,1 Samuel,29,10
11,11,29,read,Habakkuk,2,2
11,11,30,tread,Habakkuk,3,19
12,12,1,thank,2 Timothy,1,3
12,12,2,guard,2 Timothy,1,14
12,12,3,reflect,2 Timothy,2,7
12,12,4,handle,2 Timothy,2,15
12,12,5,give,1 Samuel,30,11
12,12,6,mark,2 Timothy,3,1
12,12,7,equip,2 Timothy,3,17
12,12,8,long,2 Timothy,4,8
12,12,9,get,2 Timothy,4,11
12,12,10,justify,Job,32,2
12,12,11,preserve,Job,33,18
12,12,12,share,1 Samuel,30,24
12,12,13,shine,Job,33,30
12,12,14,have,Job,34,16
12,12,15,add,Job,34,37
12,12,16,multiply,Job,35,16
12,12,17,ascribe,Job,36,3
12,12,18,prescribe,Job,36,23
12,12,19,die,1 Samuel,31,6
12,12,20,join,Job,37,18
12,12,21,question,Job,38,3
12,12,22,"bind, loosen",Job,38,31
12,12,23,detect,Job,39,29
12,12,24,receive,John,1,11
12,12,25,enter,John,10,9
12,12,26,enable,John,6,65
12,12,27,discredit,Job,40,8
12,12,28,rank,Job,40,19
12,12,29,reside,Job,41,22
12,12,30,obscure,Job,42,3
12,12,31,pray,Job,42,8
