dday,month,day,word,book
7,7,28,arm,Psalms
7,7,29,discern,Psalms
7,7,30,accept,Psalms
7,7,31,greet,Psalms
8,8,1,depart,1 Samuel
8,8,2,send,Philemon
8,8,3,answer,Judges
8,8,4,live,Judges
8,8,5,become,Judges
8,8,6,die,Judges
8,8,7,teach,Judges
8,8,8,remove,1 Samuel
8,8,9,escape,Judges
8,8,10,deliver,Judges
8,8,11,subdue,Judges
8,8,12,recite,Judges
8,8,13,rise,Judges
8,8,14,realise,Judges
8,8,15,triumph,1 Samuel
8,8,16,contend,Judges
8,8,17,promise,Judges
8,8,18,thin,Judges
8,8,19,smash,Judges
8,8,20,subside,Judges
8,8,21,fail,Judges
8,8,22,elude,1 Samuel
8,8,23,escape,Judges
8,8,24,consume,Judges
8,8,25,avenge,Judges
8,8,26,repay,Judges
8,8,27,forsake,Judges
8,8,28,bear,Judges
8,8,29,elapse,1 Samuel
8,8,30,wrong,Judges
8,8,31,advance,Judges
9,9,1,pronounce,Judges
9,9,2,govern,Judges
9,9,3,realise,Judges
9,9,4,confront,Judges
9,9,5,benefit,1 Samuel
9,9,6,burn,Judges
9,9,7, revive,Judges
9,9,8,grow,Judges
9,9,9,remember,Judges
9,9,10,install,Judges
9,9,11,hire,Judges
9,9,12,reaffirm,1 Samuel
9,9,13,use,Judges
9,9,14,welcome,Judges
9,9,15,supply,Judges
9,9,16,purge,Judges
9,9,17,fasten,Judges
9,9,18,defeat,Judges
9,9,19,weep,1 Samuel
9,9,20,discover,Judges
9,9,21,rebuild,Judges
9,9,22,display,1 Timothy
9,9,23,dress,1 Timothy
9,9,24,manage,1 Timothy
9,9,25,nourish,1 Timothy
9,9,26,pretend,1 Samuel
9,9,27,provide,1 Timothy
9,9,28,direct,1 Timothy
9,9,29,pierce,1 Timothy
9,9,30,flee,1 Timothy
10,10,1,fear,Job
10,10,2,charge,Job
10,10,3,gather,1 Samuel
10,10,4,ruin,Job
10,10,5,open,Job
10,10,6, hedge,Job
10,10,7,venture,Job
10,10,8,thwart,Job
10,10,9,desrve,Job
10,10,10,,1 Samuel
10,10,11,outweight,Job
10,10,12,reconsider,Job
10,10,13,cloth,Job
10,10,14,complain,Job
10,10,15,entwine,Job
10,10,16,fathom,Job
10,10,17,vindicate,1 Samuel
10,10,18,mock,Job
10,10,19,mediate,Job
10,10,20,shape,Job
10,10,21,wish,Job
10,10,22,recall,Job
10,10,23,distinguish,Job
10,10,24,assemble,1 Samuel
10,10,25,silence,Job
10,10,26,smear,Job
10,10,27,withdraw,Job
10,10,28,cover,Job
10,10,29,fill,Job
10,10,30,deceive,Job
10,10,31,mean,1 Samuel
11,11,1,surround,Job
11,11,2,triumph,Job
11,11,3,descend,Job
11,11,4,thrust,Job
11,11,5,alienate,Job
11,11,6,engrave,Job
11,11,7,value,1 Samuel
11,11,8,hide,Job
11,11,9,seize,Job
11,11,10,teach,Job
11,11,11,withhold,Job
11,11,12,treasure,Job
11,11,13,reduce,Job
11,11,14,see,1 Samuel
11,11,15,reply,Job
11,11,16,suspend,Job
11,11,17,utteru,Job
11,11,18,utter,Job
11,11,19,contain,Job
11,11,20,view,Job
11,11,21,consult,1 Samuel
11,11,22,commend,Job
11,11,23,vanish,Job
11,11,24,toss,Job
11,11,25,count,Job
11,11,26,warm,Job
11,11,27,tolerate,Habakkuk
11,11,28,leave,1 Samuel
11,11,29,read,Habakkuk
11,11,30,tread,Habakkuk
12,12,1,thank,2 Timothy
12,12,2,guard,2 Timothy
12,12,3,reflect,2 Timothy
12,12,4,handle,2 Timothy
12,12,5,give,1 Samuel
12,12,6,mark,2 Timothy
12,12,7,equip,2 Timothy
12,12,8,long,2 Timothy
12,12,9,get,2 Timothy
12,12,10,justify,Job
12,12,11,preserve,Job
12,12,12,share,1 Samuel
12,12,13,shine,Job
12,12,14,have,Job
12,12,15,add,Job
12,12,16,multiply,Job
12,12,17,ascribe,Job
12,12,18,prescribe,Job
12,12,19,die,1 Samuel
12,12,20,,Job
12,12,21,,Job
12,12,22,,Job
12,12,23,,Job
12,12,24,,Job
12,12,25,,Job
12,12,26,,
12,12,27,,Job
12,12,28,,Job
12,12,29,,Job
12,12,30,,Job
12,12,31,,Job
