date,book,chapter,verse,kor,eng,
2020-11-21,,,,,,
2020-11-22,,,,,,
2020-11-23,Acts,2,4,그들이 다 성령의 충만함을 받고 성령이 말하게 하심을 따라 다른 언어들로 말하기를 시작하니라,,
2020-11-24,Psalms,25,5,주의 진리로 나를 지도하시고 교훈하소서 주는 내 구원의 하나님이시니 내가 종일 주를 기다리나이다,,
2020-11-25,John,21,14,이것은 예수께서 죽은 자 가운데서 살아나신 후에 세 번째로 제자들에게 나타나신 것이라,,
2020-11-26,Psalms,23,4,내가 사망의 음침한 골짜기로 다닐지라도 해를 두려워하지 않을 것은 주께서 나와 함께 하심이라 주의 지팡이와 막대기가 나를 안위하시나이다,,
2020-11-27,Psalms,117,2,우리에게 향하신 여호와의 인자하심이 크시고 여호와의 진실하심이 영원함이로다 할렐루다,,
2020-11-28,,,,,,
2020-11-29,,,,,,
2020-11-30,Acts,9,3,사울이 길을 가다가 다메섹에 가까이 이르더니 홀연히 하늘로부터 빛이 그를 둘러 비추는지라,,
2020-12-01,Acts,10,2,그가 경건하여 온 집안과 더불어 하나님을 경외하며 백성을 많이 구제하고 하나님께 항상 기도하더니,,
2020-12-02,Psalms,52,8,그러나 나는 하나님의 집에 있는 푸른 감람나무 같음이여 하나님의 인자하심을 영원히 의지하리로다,,
2020-12-03,Psalms,16,5,여호와는 나의 산업과 나의 잔의 소득이시니 나의 분깃을 지키시나이다,,"매일 원칙의, 본짇ㄱ의 자리에 앉혀주시고 세워주시고 비춰주시니 감사합니다. 어린아이와 같은 맘으로 공기도 최고 좋음이락 하니 오늘 하루도 기쁘고 신나고 맑고 밝게 보냅시다~~"
2020-12-04,Psalms,112,1,"할렐루야, 여호와를 경외하며 그의 계명을 크게 즐거워하는 자는 복이 있도다",,
2020-12-05,,,,,,
2020-12-06,,,,,,
2020-12-07,Psalms,74,16:17,낮도 주의 것이요 밤도 주의 것이라 주께서 빛과 해를 마련하셨으며 주께서 땅의 경계를 정하시며 주께서 여름고 겨울을 만드셨나이다.,,
2020-12-08,Psalms,54,1,하나님이여 주의 이름으로 나를 구원하시고 주의 힘으로 나를 변호하소서,,
2020-12-09,Psalms,20,4,네 마음의 소원대로 허락하시고 네 모든 계획을 이루어 주시기를 원하노라,,
2020-12-10,Psalms,34,9,너희 성도들아 여호와를 경외하라 그를 경외하는 자에게는 부족함이 없도다,,
2020-12-11,Psalms,133,1,보라 형제가 연합하여 동거함이 어찌 그리 선하고 아름다운고,,
2020-12-12,,,,,,
2020-12-13,,,,,,
2020-12-14,Psalms,117,2,우리에게 향하신 여호와의 인자하심이 크시고 여호와의 진실하심이 영원함이로다 할렐루다,,
2020-12-15,Psalms,142,7,내 영혼을 옥에서 이끌어 내사 주의 이름을 감사하게 하소서 주께서 나에게 갚아 주시리니 의인들이 나를 두르리이다,,
2020-12-16,Psalms,57,1,하나님이여 내게 은혜를 베푸소서 내게 은헤를 베푸소서 내 영혼이 주께로 피하되 주의 날개 그늘 아래에서 이 재앙들이 지나기까지 피하리이다,,
2020-12-17,Psalms,121,6,낮의 해가 너를 상하게 하지 아니하며 밤의 달도 너를 해치지 아니하리로다,,
2020-12-18,Psalms,33,6,여호와의 말씀으로 하늘이 지음이 되었으며 그 만상을 그의 입 기운으로 이루었도다,,
2020-12-19,Psalms,,,,,
2020-12-20,Psalms,,,,,
2020-12-21,Psalms,33,20,우리 영혼이 여호와를 바람이여 그는 우리의 도움과 방패시로다,,
2020-12-22,Colossians,3,15,그리스도의 평강이 너희 마음을 주장하게 하라 너희는 평강을 위하여 한 몸으로 부르심을 받았나니 너희는 또한 감사하는 자가 되라,,
2020-12-23,Colossians,3,17,또 무엇을 하든지 말에나 일에나 다 주 예수의 이름으로 하고 그를 힘입어 하나님 아버지께 감사하라,,
2020-12-24,,,,,,
2020-12-25,,,,,,
2020-12-26,,,,,,
2020-12-27,,,,,,
2020-12-28,Psalms,43,3,주의 빛과 주의 진리를 보내시어 나를 인도하시고 주의 거룩한 산과 주께서 계시는 곳에 이르게 하소서,,
2020-12-29,Psalms,48,14,이 하나님은 영원히 우리 하나님이시니 그가 우리를 죽을 때까지 인도하시리로다,,
2020-12-30,Galatians,3,29,너희가 그리스도의 것이면 곧 아브라함의 자손이요 약속대로 유업을 이를 자니라,,
2020-12-31,Psalms,126,3,여호와께서 우리를 위하여 큰 일을 행하셨으니 우리는 기쁘도다,,
2021-01-01,Hebrews,6,14,이르시되 내가 반드시 너에게 복 주고 복 주며 너를 번성하게 하고 번성하게 하리라 하셨더니,,
2021-01-02,,,,,,
2021-01-03,,,,,,
2021-01-04,Psalms,46,1,하나님은 우리의 피난처시요 힘이시니 환난 중에 만날 큰 도움이시라,,
2021-01-05,,,,,,
2021-01-06,Psalms,55,16,나는 하나님께 부르짖으리니 여호와께서 나를 구원하시리로다,,
2021-01-07,Psalms,84,11,여호와 하나님은 해요 방패이시라 여호와께서 은혜와 영화를 주시며 정직하게 행하는 자에게 좋은 것을 아끼지 아니하실 것임이니이다,,
2021-01-08,Psalms,56,11,내가 하나님을 의지하였은즉 두려워하지 아니하리니 사람이 내게 어찌하리이까,,
2021-01-09,,,,,,
2021-01-10,,,,,,
2021-01-11,Hebrews,3,4,집마다 지은 이가 있으니 만물을 지으신 이느 ㄴ하나님이시라,,
2021-01-12,Hebrews,4,16,그러므로 우리는 긍휼하심을 받고 때를 따라 돕느 ㄴ은혜를 얻기 위하여 은혜의 보좌 앞에 담대히 나아갈 것이니라,,
2021-01-13,Psalms,32,7,주는 나의 은신처이오니 환난에서 나를 보호하시고 구원의 노래로 나를 두르시리이다 (셀라),,
2021-01-14,Psalms,54,4,하나님은 나를 돕는 이시며 주께서는 내 생명을 붙들어 주시는 이시니이다,,
2021-01-15,Psalms,59,17,나의 힘이시여 내가 주께 찬송하오리니 하나님은 나으 요새이시며 나를 긍휼히 여기시는 하나님이심이니다,,
2021-01-16,,,,,,
2021-01-17,,,,,,
2021-01-18,Psalms,93,4,높이 계신 여호와의 능력은 많은 물 소리와 바다의 큰 파도보다 크니이다,,
2021-01-19,Psalms,100,5,여호와는 선하시니 그의 인자핫미이 영원하고 그의 성실하심이 대대에 이르리로다,,
2021-01-20,Psalms,115,11,여호와를 경외하는 자들아 너희는 여호와를 의지하여라 그는 너희의 도움이시요 너희의 방패시로다,,
2021-01-21,,,,,,
2021-01-22,,,,,,
2021-01-23,,,,,,
2021-01-24,,,,,,
2021-01-25,Psalms,23,3,내 영혼을 소생시키시고 자기 이름을 위하여 의의 길로 인도하시는도다,,
2021-01-26,Psalms,23,5,주께서 내 원수의 목전에서 내게 상을 차려 주시고 기름을 내 머리에 부으셨으니 내 잔이 넘치나이다,,
2021-01-27,Psalms,25,18,나의 곤고와 환난을 보시고 내 모든 죄를 사하소서,,
2021-01-28,Psalms,27,1,여호와는 나의 빛이요 나의 구원이시니 내가 누구를 두려워하리요 여호와는 내 생명의 능력이시니 내가 누구를 무서워하리요,,
2021-01-29,,,,,,
2021-01-30,,,,,,
2021-01-31,,,,,,
2021-02-01,Psalms,27,7,여호와여 내가 소리 내어 부르짖을 때에 들으시고 또한 나를 긍휼히 여기사 응답하소서,,
2021-02-02,Psalms,31,5,내가 나으 ㅣ영을 주의 손에 부탁하나이다 진리의 하나님 여호와여 나를 속량하셧나이다,,
2021-02-03,Psalms,33,20,우리 영혼이 여호와를 바람이여 그는 우리의 도움과 방패시로다,,
2021-02-04,Psalms,34,18,여호와는 마음이 상한 자를 가까이 하시고 충심으로 통회하는 자를 구원하시는도다,,
2021-02-05,Psalms,36,9,진실로 생명의 원천이 주께 있사오니 주의 빛 안에서 우리가 빛을 보리이다,,
2021-02-06,,,,,,
2021-02-07,,,,,,
2021-02-08,Psalms,37,4,또 여호와를 기뻐하라 그가 네 마음의 소원을 네게 이루어 주시리로다,,
2021-02-09,,,,,,
2021-02-10,,,,,,
2021-02-11,,,,,,
2021-02-12,,,,,,
2021-02-13,,,,,,
2021-02-14,,,,,,
2021-02-15,Psalms,40,2,나를 기가 막힐 웅덩이와 수렁에서 끌어올리시고 내 발을 반석 위에 두사 내 걸음을 견고하게 하셨도다,,
2021-02-16,Psalms,57,2,내가 지존하신 하나님께 부르짖음이여 곧 나를 위하여 모든 것을 이루시는 하나님께로다,,
2021-02-17,Psalms,62,6,오직 그만이 나으 반석이시요 나의 구원이시요 나의 요새이시니 내가 흔들맂 아니하리로다,,
2021-02-18,Psalms,66,9,그는 우리 영혼을 살려 두시고 우리의 실족함을 허락하지 아니하시는 주시로다,,
2021-02-19,Psalms,68,19,날마다 우리 짐을 지시는 주 곧 우리의 구원이신 하나님을 찬송할지로다 (셀라),,
2021-02-20,,,,,,
2021-02-21,,,,,,
2021-02-22,Philippians,4,4,주 안에서 항상 기뻐하라 내가 다시 말하노니 기뻐하라,,
2021-02-23,Philippians,4,6,"아무것도 염려하지 말고 다만 모든 일에 기도와 간구로, 너희 구할 것을 감사함으로 하나님께 아뢰라",,
2021-02-24,Philippians,2,13,너희 안에서 행하시는 이는 하나님이시니 자기의 기쁘신 뜻을 위하여 너희에게 소원을 두고 행하게 하시나니,,
2021-02-25,Philippians,2,11,모든 입으로 예수 그리스도를 주라 시인하여 하나님 아버지께 영광을 돌리게 하셨느니라,,
2021-02-26,Colossians,2,7,그 안에 뿌리를 박으며 세움을 받아 교훈을 받은 대로 믿음에 굳게 서서 감사함으로 넘치게 하라,,
2021-02-27,,,,,,
2021-02-28,,,,,,
2021-03-01,,,,,,
2021-03-02,Colossians,3,23,무슨 일을 하든지 마음을 다하여 주께 하듯 하고 사람에게 하듯 하지 말라,,
2021-03-03,Colossians,3,17,또 무엇을 하든지 말에나 일에나 다 주 예수의 이름으로 하고 그를 힘입어 하나님 아버지께 감사하라,,
2021-03-04,Colossians,4,6,너희 말을 항상 은혜 가운데서 소금으로 맛을 냄과 같이 하라 그리하면 각 사람에게 마땅히 대답할 것을 알리라,,
2021-03-05,,,,,,
2021-03-06,,,,,,
2021-03-07,,,,,,
2021-03-08,Psalms,86,7,나의 환난 날에 내가 주께 부르짖으리니 주께서 내게 응답하시리이다,,
2021-03-09,Psalms,90,14,아침에  주의 인자하심이 우리를 만족하게 하사 우리를 일생 동안 즐겁고 기쁘게 하소서,,
2021-03-10,Psalms,91,14,하나님이 이르시되 그가 나를 사랑한즉 내가 그를 건지리라 그가 내 이름을 안즉 내가 그를 높이리라,,
2021-03-11,Psalms,93,2,주의 보좌는 예로부터 견고히 섰으며 주는 영원부터 계셨나이다,,
2021-03-12,James,5,13,너희 중에 고난 당하는 자가 있느냐 그는 기도할 것이요 즐거워하는 자가 있느냐 그는 찬송할지니라,,
2021-03-13,,,,,,
2021-03-14,,,,,,
2021-03-15,Psalms,48,14,이 하나님은 영원히 우리 하나님이시니 그가 우리를 죽을 때까지 인도하시리로다,,
2021-03-16,Psalms,51,10,하나님이여 내 속에 정한 마음을 창조하시고 내 안에 정직한 영을 새롭게 하소서,,
2021-03-17,Psalms,52,8,그러나 나는 하나님의 집에 있는 푸른 감람나무 같음이여 하나님의 인자하심을 영원히 의지하리로다,,
2021-03-18,Psalms,56,10,내가 하나님을 의지하여 그의 말씀을 찬송하며 여호와를 의지하여 그의 말씀을 찬송하리이다,,
2021-03-19,Psalms,,,,,
2021-03-20,Psalms,,,,,
2021-03-21,Psalms,,,,,
2021-03-22,Psalms,57,11,하나님이여 주는 하늘 위에 높이 들리시며 주의 영광이 온 세계 위에 높아지기를 원하나이다,,
2021-03-23,Psalms,62,7,나의 구원과 영광이 하나님께 있음이여 내 힘의 반석과 피난처도 하나님께 있도다,,
2021-03-24,Psalms,63,7,주는 나의 도움이 되셨음이라 내가 주의 날개 그늘에서 즐겁게 부르리아디,,
2021-03-25,Psalms,66,9,그는 우리 영혼을 살려 두시고 우리의 실족함을 허락하지 아니하시는 주시로다,,
2021-03-26,Psalms,84,12,만군의 여호와여 주께 의지하는 자는 복이 있나이다,,
2021-03-27,Psalms,,,,,
2021-03-28,Psalms,,,,,
2021-03-29,Psalms,90,14,아침에 주의 인자하심이 우리를 만족하게 하사 우리를 일생 동안 즐겁고 기쁘게 하소서,,
2021-03-30,Psalms,91,11,그가 너를 위하여 그의 천사들을 명령하사 네 모든 길에서 너를 지키게 하심이라,,
2021-03-31,Psalms,100,4,감사함으로 그의 문에 들어가며 찬송함으로 그의 궁정에 들어가서 그에게 감사하며 그의 이름을 송축할지어다,,
2021-04-01,Psalms,106,5,내가 주의 택하신 자가 형통함을 보고 주의 나라의 기쁨을 나누어 가지게 하사 주의 유산을 자랑하게 하소서,,
2021-04-02,Psalms,115,14,여호와께서 너희를 곧 너희와 너희의 자손을 더욱 번창하게 하시기를 원하노라,,
2021-04-03,Psalms,,,,,
2021-04-04,Psalms,,,,,
2021-04-05,Psalms,116,8,"주께서 내 영혼을 사망에서, 내 눈을 눈물에서, 내 발을 넘어짐에서 건지셨나이다",,
2021-04-06,Psalms,118,25,여호와여 구하옵나니 이제 구원하소서 여호와여 우리가 구하옵나니 이제 형통하게 하소서,,
2021-04-07,Psalms,121,7,여호와께서 너를 지켜 모든 환난을 면하게 하시며 또 네 영혼을 지키시리로다,,
2021-04-08,Psalms,124,8,우리의 도움은 천지를 지으신 여호와의 이름에 있도다,,
2021-04-09,Psalms,128,2,네가 네 손이 수고한 대로 먹을 것이라 네가 복되고 형통하리로다,,
2021-04-10,Psalms,,,,,
2021-04-11,Psalms,,,,,
2021-04-12,Psalms,139,23,하나님이여 나를 살피사 내 마음을 아시며 나를 시험하사 내 뜻을 아옵소서,,
2021-04-13,Psalms,145,19,그는 자기를 경외하는 자들의 소원을 이루시며 또 그들의 부르짖음을 들으사 구원하시리로다,,
2021-04-14,Psalms,148,13,여호와의 이름을 찬양할지어다 그의 이름이 홀로 높으시며 그의 영광이 땅과 하늘 위에 뛰어나심이로다,,
2021-04-15,Psalms,149,4,여호와께서는 자기 백성을 기뻐하시며 겸손한 자를 구원으로 아름답게 하심이로다,,
2021-04-16,Ephesians,4,25,그런즉 거짓을 버리고 각각 그 이웃과 더불어 참된 것을 말하라 이는 우리가 서로 지체가 됨이라,,
2021-04-17,,,,,,
2021-04-18,,,,,,
2021-04-19,Psalms,3,8,구원은 여호와께 있사오니 주의 복을 주의 백성에게 내리소서 (셀라),,
2021-04-20,Psalms,4,8,내가 평안히 눕고 자기도 하리니 나를 안전히 살게 하시는 이는 오직 여호와이시니이다.,,
2021-04-21,Psalms,8,9,여호와 우리 주여 주의 이름이 온 땅에 어찌 그리 아름다운ㄷ지요,,
2021-04-22,Psalms,13,6,내가 여호와를 찬송하리니 이는 주께서 내계 은덕을 베푸심이로다,,
2021-04-23,Psalms,16,2,내가 여호와께 아뢰되 주는 나의 주님이시오니 주 밖에는 나의 복이 없다 하였나이다.,,
2021-04-24,Psalms,,,,,
2021-04-25,Psalms,,,,,
2021-04-26,Psalms,23,1,여호와는 나의 목자시니 내게 부족함이 없으리로다.,,
2021-04-27,Psalms,23,3,내 영혼을 소생시키시고 자기 이름을 위하여 의의 길로 인도하시는도다,,
2021-04-28,Psalms,25,4,여호와여 주의 도를 내게 보이시고 주의 길을 내게 가르치소서,,
2021-04-29,Psalms,31,15,나의 앞날이 주의 손에 있사오니 내 원수들과 나를 핍박하는 자들의 손에서 나를 건져 주소서,,
2021-04-30,Psalms,31,24,여호와를 바라는 너희들아 강하고 담대하라,,
2021-05-01,,,,,,
2021-05-02,,,,,,
2021-05-03,Psalms,33,20,우리 영혼이 여호와를 바람이여 그는 우리의 도움과 방패시로다,,
2021-05-04,Psalms,34,9,너희 성도들아 여호와를 경외하라 그를 경외하는 자에게는 부족함이 없도다,,
2021-05-05,Psalms,36,9,진실로 생명의 원천이 주께 있사오니 주의 빛 안에서 우리가 빛을 보리이다,,
2021-05-06,Psalms,37,4,또 여호와를 기뻐하라 그가 네 마음의 소원을 네게 이루어 주시리로다,,
2021-05-07,Psalms,40,1,내가 여호와를 기다리고 기다렸더니 귀를 기울이사 나으 부르짖음을 들으셨도다,,
2021-05-08,,,,,,
2021-05-09,,,,,,
2021-05-10,Isaiah,40,8,풀은 마르고 꽃은 시드나 우리 하나님의 말씀은 영원히 서리라 하라,,
2021-05-11,Isaiah,41,10,두려워 하지 말라 내가 너와 함께 함이라 놀라지 말라 나는 네 하나님이 됨이라 내가 너를 굳세게 하리라 참으로 너를 도와 주리라 참으로 나의 의로운 오른손으로 너를 붙들리라,,
2021-05-12,Deuteronomy,4,39,그런즉 너는 오늘 위로 하늘에나 아래로 땅에 오직 여호와는 하나님이시요 다른 신이 없는 줄을 알아 명심하고,,
2021-05-13,Deuteronomy,5,10,나를 사랑하고 내 계명을 지키는 자에게는 천 대까지 은혜를 베푸느니라,,
2021-05-14,Deuteronomy,6,5,너는 마음을 다하고 뜻을 다하고 힘을 다하여 네 하나님 여호와를 사랑하라,,
2021-05-15,,,,,,
2021-05-16,,,,,,
2021-05-17,Philippians,4,6,"아무 것도 염려하지 말고 다만 모든 일에 기도와 간구로, 너희 구할 것을 감사함으로 하나님께 아뢰라",,
2021-05-18,,,,,,
2021-05-19,,,,,,
2021-05-20,Philippians,4,13,내게 능력 주시는 자 안에서 내가 모든 것을 할 수 있느니라,,
2021-05-21,Colossians,3,15,그리스도의 평강이 너희 마음을 주장하게 하라 너희는 평강을 위하여 한 몸으로 부르심을 받았나니 너희는 또한 감사하는 자가 되라,,
2021-05-22,,,,,,
2021-05-23,,,,,,
2021-05-24,,,,,,
2021-05-25,Colossians,4,2,기도를 계속하고 기도에 감사함으로 깨어 있으라,,
2021-05-26,Ephesians,5,8,너희가 전에는 어둠이더니 이제는 주 안에서 빛이라 빛의 자녀들처럼 행하라,,
2021-05-27,1Thessalonians,5,18,범사에 감사하라 이것이 그리스도 예수 안에서 너희를 향하신 하나님의 뜻이니라,,
2021-05-28,Psalms,34,6,이 곤고한 자가 부르짖으매 여호와께서 들으시고 그의 모든 환난에서 구원하셨도다.,,
2021-05-29,,,,,,
2021-05-30,,,,,,
2021-05-31,,,,,,
2021-06-01,Psalms,34,9,너희 성도들아 여화를 경외하라 그를 경외하는 자에게는 부족함이 없도다,,
2021-06-02,Psalms,35,28,나의 혀가 주의 의를 말하며 종일토록 주를 찬송하리이다,,
2021-06-03,,,,,,
2021-06-04,,,,,,
2021-06-05,,,,,,
2021-06-06,,,,,,
2021-06-07,Psalms,37,4,또 여호와를 기뻐하라 그가 네 마음의 소원을 네게 이루어 주시리로다,,
2021-06-08,Psalms,39,7,주여 이제 내가 무엇을 바라리요 나의 소망은 주께 있나이다,,
2021-06-09,Psalms,39,13,주는 나를 용서하사 내가 떠나 없어지기 전에 나의 건강을 회복시키소서,,
2021-06-10,Psalms,40,13,여호와여 은총을 베푸사 나를 구원하소서 여호와여 속히 나를 도우소서,,
2021-06-11,Psalms,16,8,내가 여호와를 항상 내 앞에 모심이여 그가 나으 오른쪽에 계시므로 내가 흔들리지 아니하리로다,,
2021-06-12,Psalms,,,,,
2021-06-13,Psalms,,,,,
2021-06-14,Psalms,121,8,여호와께서 너의 출임을 지금부터 영원까지 지키시리로다,,
2021-06-15,Psalms,121,7,여호와께서 너를 지켜 모든 환난을 면하게 하시며 또 네 영혼을 지키시리로다,,
2021-06-16,Psalms,121,2,나의 도움은 천지를 지으신 여호와에게서로다,,
2021-06-17,Psalms,128,1,여호와를 경외하며 그의 길을 걷는 자마다 복이 있도다,,
2021-06-18,Psalms,128,2,네가 네 손이 수고한 대로 먹을 것이라 네가 복되고 형통하리로다,,
2021-06-19,Psalms,,,,,
2021-06-20,Psalms,,,,,
2021-06-21,Psalms,133,1,보라 형제가 연합하여 동거함이 어찌 그리 선하고 아름다운고,,
2021-06-22,Psalms,134,3,천지를 지으신 여호와께서 시온에서 네게 복을 주실지어다,,
2021-06-23,Psalms,136,1,여호와께 감사하라 그는 선하시며 그 인자하심이 영원함이로다,,
2021-06-24,Psalms,145,1,왕이신 나의 하나님이여 내가 주를 높이고 영원히 주의 이름을 송축하리이다,,
2021-06-25,Psalms,147,5,우리 주는 위대하시며 능력이 많으시며 그의 지혜가 무궁하시도다,,
2021-06-26,,,,,,
2021-06-27,,,,,,
2021-06-28,Psalms,147,11,여호와는 자기를 경외하는 자들과 그의 인자하심을 바라는 자들을 바라는 자들을 기뻐하시는도다,,
2021-06-29,Psalms,148,1,할렐루야 하늘에서 여호와를 찬양하며 높은 데서 그를 찬양할지어다,,
2021-06-30,Psalms,150,2,그의 능하신 행동을 찬양하며 그의 지극히 위대하심을 따라 찬양할지어다,,
2021-07-01,Psalms,150,6,호흡이 있는 자마다 여호와를 찬양할지어다 할렐루야,,
2021-07-02,3John,1,2,사랑하는 자여 네 영혼이 잘됨 같이 네가 범사에 잘되고 강건하기를 내가 간구하노라,,
2021-07-03,,,,,,
2021-07-04,,,,,,
2021-07-05,Psalms,54,4,하나님은 나를 돕는 이시며 주께서는 내 생명을 붙들어 주시는 이시니이다.,,
2021-07-06,Psalms,56,10,내가 하나님을 의지하여 그의 말씀을 찬송하며 여호와를 의지하여 그의 말씀을 찬송하리이다,,
2021-07-07,Psalms,59,17,나의 힘이시여 내가 주께 찬송하오리니 하나님은 나의 요새이시며 나를 긍휼히 여기시는 하나님이니이다.,,
2021-07-08,Psalms,62,6,오직 그만이 나의 반석이시요 나의 구원이시요 나의 요새이시니 내가 흔들리지 아니하리로다,,
2021-07-09,Psalms,71,14,나는 항상 소망을 품고 주를 더욱 더욱 찬송하리이다,,
2021-07-10,Psalms,,,,,
2021-07-11,Psalms,,,,,
2021-07-12,Psalms,72,19,그 영화로운 이름을 영원히 찬송할지어다 온 땅에 그의 영광이 충만할지어다,,
2021-07-13,Psalms,73,25,하늘에서는 주 외에 누가 내게 있으리요 땅에서는 주 밖에 내가 사모할 이 없나이다,,
2021-07-14,Psalms,74,17,주께서 땅의 경계를 정하시며 주께서 여름과 겨울을 만드셨나이다,,
2021-07-15,Mark,11,24,그러므로 내가 너희에게 말하노니 무엇이든지 기도하고 구하는 것은 받은 줄로 믿으라 그리하면 너희에게 그대로 되리라,,
2021-07-16,Psalms,79,13,우리는 주의 백성이요 주의 목장의 양이니 우리는 영원히 주께 감사하며 주의 영예를 대대에 전하리이다.,,
2021-07-17,,,,,,
2021-07-18,,,,,,
2021-07-19,Psalms,80,19,만군의 하나님 여호와여 우리를 돌이켜 주시고 주의 얼굴의 광채를 우리에게 비추소서 우리가 구원을 얻으리이다,,
2021-07-20,Psalms,83,18,여호와라 이름하신 주만 온 세계의 지존자로 알게 하소서,,
2021-07-21,Psalms,84,11,여화와 하나님은 해요 방패이시라 여호와께서 은헤와 영화를 주시며 정직하게 행하는 자에게 좋은 것을 아끼지 아니하실 것임이니이다,,
2021-07-22,Psalms,86,7,나의 환난 날에 내가 주께 부르짖으리니 주께서 내게 응답하시리이다,,
2021-07-23,Psalms,89,14,공의와 정읙 주의 보좌의 기초라 인자함과 진실함이 주 앞에 있나이다,,
2021-07-24,Psalms,,,,,
2021-07-25,Psalms,,,,,
2021-07-26,Psalms,90,2,"산이 생기기 전, 땅과 세계도 주께서 조성하시기 전 곧 영원부터 영원까지 주는 하나님이시니이다",,
2021-07-27,Psalms,91,15,그가 내게 간구하리니 내가 그에게 응답하리라 그들이 환난 당할 때에 내가 그와 함께 하여 그를 건지고 영화롭게 하리라,,
2021-07-28,Psalms,92,4,여호와여 주께서 행하신 일로 나를 기쁘게 하셨으니 주의 손이 행하신 일로 말미암아 내가 높이 외치리이다.,,
2021-07-29,Psalms,100,4,감사함으로 그의 문에 들어가며 찬송함으로 그의 궁정에 들어가서 그에게 감사하며 그의 이름을 송축할지어다,,
2021-07-30,Psalms,102,2,나의 괴로운 날에 주의 얼굴을 내게서 숨기지 마소서 주의 귀를 내게 기울이사 내가 부르짖는 날에 속히 내게 응답하소서,,
2021-07-31,,,,,,
2021-08-01,,,,,,
2021-08-02,Psalms,103,5,좋은 것으로 네 소원을 만족하게 하사 네 청춘을 독수리 같이 새롭게 하시는도다,,
2021-08-03,Psalms,104,34,나의 기도를 기쁘게 여기시기를 바라나니 나는 여호와로 말미암아 즐거워하리로다,,
2021-08-04,Psalms,104,33,내가 평생토록 여호와께 노래하며 내가 살아 있는 동안 내 하나님을 찬양하리로다,,
2021-08-05,Psalms,106,1,할렐루야 여호와께 감사하라 그는 선하시며 그 인자하심이 영원함이로다,,
2021-08-06,Psalms,107,31,여호와의 인자하심과 인생에게 행하신 기적으로 말미암아 그를 찬송할지로다,,
2021-08-07,Psalms,,,,,
2021-08-08,Psalms,,,,,
2021-08-09,Psalms,113,3,해 돋는 데서부터 해 지는 데에까지 여호와의 이름이 찬양을 받으시리로다,,
2021-08-10,Psalms,115,11,여호와를 경외하는 자들아 너희는 여호와를 의지하여라 그는 너희의 도움이시요 너희의 방패시로다,,
